Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Nedbør (døgn);Høyeste middelvind (døgn)
Bergen - Florida;SN50540;28.01.2022;3;3;13,4
Bergen - Florida;SN50540;29.01.2022;6,4;58,2;14,5
Bergen - Florida;SN50540;30.01.2022;2,7;24,5;18,3
Bergen - Florida;SN50540;31.01.2022;0,2;0,1;8,7
Bergen - Florida;SN50540;01.02.2022;2,4;5,6;9,9
Bergen - Florida;SN50540;02.02.2022;1,3;12,6;12,3
Bergen - Florida;SN50540;03.02.2022;4,9;6,9;7,3
Bergen - Florida;SN50540;04.02.2022;2,8;21,7;9,3
Bergen - Florida;SN50540;05.02.2022;2,6;12,1;9,9
Bergen - Florida;SN50540;06.02.2022;2;23,4;6,6
Bergen - Florida;SN50540;07.02.2022;3;8,9;9
Bergen - Florida;SN50540;08.02.2022;4,9;24;8,6
Bergen - Florida;SN50540;09.02.2022;4;6,8;11,2
Bergen - Florida;SN50540;10.02.2022;2;5,9;8
Bergen - Florida;SN50540;11.02.2022;0,5;7;7,9
Bergen - Florida;SN50540;12.02.2022;4,9;8,6;9,9
Bergen - Florida;SN50540;13.02.2022;6,6;50,7;8,1
Bergen - Florida;SN50540;14.02.2022;4,6;15,8;5,5
Bergen - Florida;SN50540;15.02.2022;3,5;1,4;6,2
Bergen - Florida;SN50540;16.02.2022;3,4;10,5;7,6
Bergen - Florida;SN50540;17.02.2022;2,2;8,5;5,5
Bergen - Florida;SN50540;18.02.2022;2,5;9,1;6,6
Bergen - Florida;SN50540;19.02.2022;0,4;2;4,9
Bergen - Florida;SN50540;20.02.2022;1,8;6,3;12,8
Bergen - Florida;SN50540;21.02.2022;2,9;13,3;8,9
Bergen - Florida;SN50540;22.02.2022;0,9;2,4;11,3
Bergen - Florida;SN50540;23.02.2022;4,5;6,3;11,7
Bergen - Florida;SN50540;24.02.2022;3,5;19,6;7,9
Bergen - Florida;SN50540;25.02.2022;3,4;16,2;9,8
Bergen - Florida;SN50540;26.02.2022;4,6;0,1;9,9
Bergen - Florida;SN50540;27.02.2022;6,7;0,1;13,5
Bergen - Florida;SN50540;28.02.2022;5,7;0;13,4
Bergen - Florida;SN50540;01.03.2022;4,8;17,5;8,9
Bergen - Florida;SN50540;02.03.2022;5,9;2,6;7
